BIO_ZONE,observation,severity
Balsam-fir-yellow birch,491,100
Balsam-fir-white birch,492,5.580520129
Balsam-fir-white birch,493,5.580520129
Balsam-fir-yellow birch,494,41.50471366
Balsam-fir-yellow birch,495,41.50471366
Balsam-fir-yellow birch,496,41.50471366
Balsam-fir-yellow birch,497,41.50471366
Balsam-fir-white birch,498,3.446586847
Balsam-fir-white birch,499,3.446586847
Balsam-fir-white birch,500,3.446586847
Balsam-fir-white birch,501,3.446586847
Balsam-fir-white birch,502,3.446586847
Balsam-fir-white birch,503,48.37765066
Balsam-fir-white birch,504,48.37765066
Balsam-fir-white birch,505,48.37765066
Balsam-fir-white birch,506,48.37765066
Balsam-fir-white birch,507,48.37765066
Balsam-fir-white birch,508,28.87194304
Balsam-fir-white birch,509,28.87194304
Balsam-fir-white birch,510,28.87194304
Balsam-fir-yellow birch,511,6.013043328
Balsam-fir-yellow birch,512,6.013043328
Balsam-fir-yellow birch,513,6.013043328
Balsam-fir-yellow birch,514,6.013043328
Balsam-fir-yellow birch,515,6.013043328
Balsam-fir-yellow birch,516,41.79078573
Balsam-fir-yellow birch,517,41.79078573
Balsam-fir-yellow birch,518,41.79078573
Balsam-fir-yellow birch,519,41.79078573
Balsam-fir-white birch,520,46.68427503
Balsam-fir-white birch,521,46.68427503
Balsam-fir-white birch,522,46.68427503
Balsam-fir-white birch,523,46.68427503
Balsam-fir-white birch,524,46.68427503
Balsam-fir-yellow birch,525,68.15039602
Balsam-fir-yellow birch,526,68.15039602
Balsam-fir-yellow birch,527,68.15039602
Balsam-fir-white birch,528,19.61240999
Balsam-fir-white birch,529,19.61240999
Balsam-fir-white birch,530,19.61240999
Balsam-fir-white birch,531,19.61240999
Balsam-fir-white birch,532,19.61240999
Balsam-fir-white birch,533,35.93245482
Balsam-fir-white birch,534,35.93245482
Balsam-fir-white birch,535,35.93245482
Balsam-fir-white birch,536,35.93245482
Balsam-fir-yellow birch,537,3.621221737
Balsam-fir-yellow birch,538,3.621221737
Balsam-fir-yellow birch,539,66.07465369
Balsam-fir-yellow birch,540,66.07465369
Balsam-fir-yellow birch,541,66.07465369
Balsam-fir-yellow birch,542,66.07465369
Balsam-fir-yellow birch,543,66.07465369
Balsam-fir-yellow birch,544,3.838448259
Balsam-fir-yellow birch,545,3.838448259
Balsam-fir-yellow birch,546,6.142768048
Balsam-fir-yellow birch,547,6.142768048
Balsam-fir-yellow birch,548,6.142768048
Balsam-fir-yellow birch,549,6.142768048
Balsam-fir-yellow birch,550,16.20605376
Balsam-fir-yellow birch,551,16.20605376
Balsam-fir-yellow birch,552,16.20605376
Balsam-fir-yellow birch,553,16.20605376
Balsam-fir-white birch,554,21.04419621
Balsam-fir-white birch,555,21.04419621
Balsam-fir-white birch,556,21.04419621
Balsam-fir-white birch,557,21.04419621
Balsam-fir-white birch,558,21.04419621
Balsam-fir-white birch,559,12.77068945
Balsam-fir-white birch,560,12.77068945
Balsam-fir-white birch,561,12.77068945
Balsam-fir-white birch,562,16.4148005
Balsam-fir-white birch,563,16.4148005
Balsam-fir-white birch,564,16.4148005
Balsam-fir-white birch,565,16.4148005
Balsam-fir-white birch,566,16.4148005
Balsam-fir-white birch,567,3.061133081
Balsam-fir-white birch,568,3.061133081
Balsam-fir-white birch,569,3.061133081
Balsam-fir-white birch,570,3.061133081
Balsam-fir-white birch,571,3.061133081
Balsam-fir-white birch,572,6.271218176
Balsam-fir-white birch,573,6.271218176
Balsam-fir-white birch,574,6.271218176
Balsam-fir-white birch,575,6.271218176
Balsam-fir-white birch,576,6.271218176
Balsam-fir-white birch,577,2.71549282
Balsam-fir-white birch,578,2.71549282
Balsam-fir-white birch,579,23.35221813
Balsam-fir-white birch,580,23.35221813
Balsam-fir-white birch,581,23.35221813
Balsam-fir-white birch,582,23.35221813
Balsam-fir-white birch,583,100
Balsam-fir-white birch,584,100
Balsam-fir-white birch,585,100
Balsam-fir-white birch,586,100
Balsam-fir-white birch,587,100
Balsam-fir-white birch,588,100
Balsam-fir-white birch,589,100
Balsam-fir-white birch,590,100
Balsam-fir-white birch,591,100
Balsam-fir-white birch,592,100
Balsam-fir-white birch,593,62.40128862
Balsam-fir-white birch,594,62.40128862
Balsam-fir-white birch,595,62.40128862
Balsam-fir-white birch,596,62.40128862
Balsam-fir-white birch,597,62.40128862
Balsam-fir-white birch,598,31.86225689
Balsam-fir-white birch,599,31.86225689
Balsam-fir-white birch,600,31.86225689
Balsam-fir-white birch,601,3.37213159
Balsam-fir-white birch,602,3.37213159
Balsam-fir-white birch,603,3.37213159
Balsam-fir-yellow birch,604,4.890804569
Balsam-fir-yellow birch,605,4.890804569
Balsam-fir-yellow birch,606,4.890804569
Balsam-fir-yellow birch,607,4.890804569
Balsam-fir-yellow birch,608,4.890804569
Balsam-fir-yellow birch,609,20.21201157
Balsam-fir-yellow birch,610,20.21201157
Balsam-fir-yellow birch,611,20.21201157
Balsam-fir-yellow birch,612,20.21201157
Balsam-fir-yellow birch,613,20.21201157
Balsam-fir-white birch,614,80.17813427
Balsam-fir-white birch,615,80.17813427
Balsam-fir-white birch,616,80.17813427
Balsam-fir-white birch,617,80.17813427
Balsam-fir-white birch,618,80.17813427
Balsam-fir-white birch,619,1.515623801
Balsam-fir-white birch,620,1.515623801
Balsam-fir-white birch,621,1.515623801
Balsam-fir-white birch,622,1.515623801
Balsam-fir-white birch,623,1.515623801
Balsam-fir-white birch,624,3.734779665
Balsam-fir-white birch,625,3.734779665
Balsam-fir-white birch,626,0.880409962
Balsam-fir-white birch,627,0.880409962
Balsam-fir-white birch,628,85.37867449
Balsam-fir-white birch,629,85.37867449
Balsam-fir-white birch,630,85.37867449
Balsam-fir-white birch,631,85.37867449
Balsam-fir-white birch,632,44.43138531
Balsam-fir-white birch,633,44.43138531
Balsam-fir-white birch,634,44.43138531
Balsam-fir-white birch,635,44.43138531
Balsam-fir-white birch,636,0.654318478
Balsam-fir-white birch,637,0.654318478
Balsam-fir-white birch,638,1.392626917
Balsam-fir-white birch,639,1.392626917
Balsam-fir-white birch,640,66.65209348
Balsam-fir-white birch,641,66.65209348
Balsam-fir-white birch,642,66.65209348
Balsam-fir-white birch,643,66.65209348
Balsam-fir-white birch,644,66.65209348
Balsam-fir-white birch,645,24.18365168
Balsam-fir-white birch,646,24.18365168
Balsam-fir-white birch,647,24.18365168
Balsam-fir-white birch,648,24.18365168
Balsam-fir-white birch,649,24.18365168
Balsam-fir-white birch,650,10.34977412
Balsam-fir-white birch,651,10.34977412
Balsam-fir-yellow birch,652,80.37395596
Balsam-fir-yellow birch,653,80.37395596
Balsam-fir-yellow birch,654,80.37395596
Balsam-fir-yellow birch,655,80.37395596
Balsam-fir-yellow birch,656,80.37395596
Balsam-fir-yellow birch,657,100
Balsam-fir-yellow birch,658,100
Balsam-fir-yellow birch,659,100
Balsam-fir-yellow birch,660,100
Balsam-fir-yellow birch,661,100
Balsam-fir-yellow birch,662,87.28803056
Balsam-fir-yellow birch,663,87.28803056
Balsam-fir-yellow birch,664,87.28803056
Balsam-fir-yellow birch,665,87.28803056
Balsam-fir-yellow birch,666,87.28803056
Balsam-fir-white birch,667,11.36830026
Balsam-fir-white birch,668,11.36830026
