TSO_yrs,BIO_ZONE,SEVERITY_cl,se_Live_C,n_Live_C,se_Dead_C_new_h,n_Dead_C_new_h,ci_Live_C_lower,ci_Live_C_upper,ci_Dead_C_lower,ci_Dead_C_upper,Carbon_Type,Mean_Carbon
40,Balsam_fir-white_birch,High,3.38,17,0.59,17.00,45.92,59.18,0.49,2.78,Live_Carbon,52.55
40,Balsam_fir-white_birch,High,3.38,17,0.59,17.00,45.92,59.18,0.49,2.78,Dead_Carbon,1.63
41,Balsam_fir-white_birch,High,5.62,11,1.27,11.00,51.14,73.17,1.56,6.54,Live_Carbon,62.15
41,Balsam_fir-white_birch,High,5.62,11,1.27,11.00,51.14,73.17,1.56,6.54,Dead_Carbon,4.05
42,Balsam_fir-white_birch,Moderate,2.93,22,1.04,22.00,64.34,75.83,3.53,7.60,Live_Carbon,70.09
42,Balsam_fir-white_birch,Moderate,2.93,22,1.04,22.00,64.34,75.83,3.53,7.60,Dead_Carbon,5.57
42,Balsam_fir-white_birch,High,2.59,36,0.74,36.00,51.07,61.22,2.95,5.85,Live_Carbon,56.15
42,Balsam_fir-white_birch,High,2.59,36,0.74,36.00,51.07,61.22,2.95,5.85,Dead_Carbon,4.40
42,Balsam_fir-yellow_birch,High,4.07,15,0.66,15.00,45.50,61.45,1.07,3.65,Live_Carbon,53.47
42,Balsam_fir-yellow_birch,High,4.07,15,0.66,15.00,45.50,61.45,1.07,3.65,Dead_Carbon,2.36
44,Balsam_fir-yellow_birch,Low,8.85,10,1.65,10.00,55.42,90.10,1.65,8.12,Live_Carbon,72.76
44,Balsam_fir-yellow_birch,Low,8.85,10,1.65,10.00,55.42,90.10,1.65,8.12,Dead_Carbon,4.89
45,Balsam_fir-yellow_birch,High,8.39,11,1.17,11.00,38.28,71.15,1.27,5.86,Live_Carbon,54.72
45,Balsam_fir-yellow_birch,High,8.39,11,1.17,11.00,38.28,71.15,1.27,5.86,Dead_Carbon,3.57
46,Balsam_fir-yellow_birch,Low,7.72,10,1.88,10.00,62.64,92.90,1.86,9.22,Live_Carbon,77.77
46,Balsam_fir-yellow_birch,Low,7.72,10,1.88,10.00,62.64,92.90,1.86,9.22,Dead_Carbon,5.54
46,Balsam_fir-yellow_birch,Moderate,3.27,18,1.93,18.00,45.33,58.16,2.57,10.12,Live_Carbon,51.74
46,Balsam_fir-yellow_birch,Moderate,3.27,18,1.93,18.00,45.33,58.16,2.57,10.12,Dead_Carbon,6.34
46,Balsam_fir-yellow_birch,High,3.26,20,1.03,20.00,36.78,49.56,2.01,6.03,Live_Carbon,43.17
46,Balsam_fir-yellow_birch,High,3.26,20,1.03,20.00,36.78,49.56,2.01,6.03,Dead_Carbon,4.02
